porcentaje18
8.43
9.27
16.27
3.84
125.85
3.26
87.29
2.21
90.47
12.76
8.41
9.75
3.69
2.60
5.00
44.90
15.92
18.11
.45
64.98
20.80
20.94
1.70
64.30
7.88
30.87
17.24
3.45
25.00
6.97
1.24
101.70
14.36
13.07
23.07
3.22
28.57
.24
38.69
.31
4229.87
3.15
1.90
.23
18.33
8.25
110.72
1.47
11.68
4.59
1.47
2.41
137.56
993.12
9.28
1.52
24.41
210.00
2.44
2.29
25.38
16.78
10.28
3.15
5.07
0
23.44
4.08
14.92
3.38
6.50
137.03
11.23
8.13
23.07
4.80
17.54
30.55
16.27
3.83
13.86
2.94
7.30
13.49
430.43
18.55
.91
.22
26.58
.76
2.17
2044.29
22.76
1.14
1.33
14.97
707.89
71.10
.02
24.74
3.54
4827.35
2.94
1.42
14.13
11.72
1189.17
.98
1.83
16.48
75.39
79.41
3.04
5.84
6.94
3.63
30.18
27.39
12.90
6.51
.28
.74
52.25
3.94
6896.00
6.94
2.62
370.37
1.27
8.52
30.27
.35
52.51
36.68
21.10
44.54
18.36
8.01
6.00
4.58
2.68
47.31
9.30
19.48
20.38
2.12
6.65
.29
10.88
13.31
28.14
63.54
107.24
9.48
17.35
15.13
3.03
142.22
54.32
.59
86.98
9.33
9.40
51.21
13.77
6.29
104.81
18.08
.31
6.40
1.32
1.45
21.95
44.96
14.56
93.13
50.08
153.26
5.26
223.23
11.59
64.70
17.39
1.94
157.69
0
12.06
4.40
1.11
0
65.30
5.00
4.45
9.05
.76
1.10
4.47
18.18
18.75
.83
.88
66.41
