porcentaje
28.93
27.06
30.89
41.02
20.21
23.21
38.91
34.68
23.43
26.54
28.03
39.93
27.02
40.82
26.01
34.66
22.42
31.15
27.38
26.35
24.37
26.96
26.45
33.97
34.04
32.65
33.33
32.74
33.33
16.53
30.87
34.85
34.82
39.39
39.31
29.02
47.32
28.99
14.08
19.20
33.00
34.57
34.18
27.73
26.77
9.02
29.71
21.75
27.09
20.61
23.04
19.77
27.72
34.97
28.57
16.96
17.82
24.70
21.37
31.06
24.39
44.78
36.60
36.00
15.05
25.84
31.43
32.78
29.37
34.47
13.81
34.09
18.25
16.98
39.68
31.49
38.58
38.98
36.08
16.18
31.41
26.63
30.07
38.50
31.03
27.27
22.22
35.02
33.01
16.48
24.87
36.73
31.56
27.06
24.50
29.86
31.94
36.12
17.98
35.96
10.85
36.16
26.04
18.31
26.78
21.56
39.28
30.74
33.38
31.06
32.41
26.66
28.11
27.98
36.53
25.49
32.11
40.62
12.70
29.92
18.51
27.01
27.97
15.82
39.62
30.86
22.43
48.27
16.07
27.09
34.06
33.27
39.59
22.27
37.25
25.40
40.00
29.74
31.50
36.82
21.26
32.82
24.89
24.34
28.91
14.58
28.87
19.51
21.66
41.08
31.25
37.73
13.14
37.84
36.12
31.25
25.87
17.52
33.33
20.40
26.62
28.94
28.65
27.58
40.66
20.32
15.33
27.67
26.45
30.90
38.54
9.25
34.64
26.42
33.01
28.20
23.89
48.11
32.99
39.36
43.42
42.85
47.61
26.53
33.67
11.11
27.35
16.10
16.16
24.28
33.11
42.64
24.60
29.90
33.56
28.04
34.07
24.47
26.81
17.39
37.86
20.69
