municipio,cp,superficie,densidad
Abanto,50001,63.84,1.51
Acered,50002,30,5.50
Agón,50003,18.52,7.88
Aguarón,50004,36.62,17.23
Aguilón,50005,59.45,3.95
Ainzón,50006,40.46,26.81
Aladrén,50007,21.06,2.46
Alagón,50008,24.22,292.89
Alarba,50009,19,7.00
Alberite de San Juan,50010,11.23,6.41
Albeta,50011,2.65,49.81
Alborge,50012,4.84,22.31
Alcalá de Ebro,50013,9.87,25.43
Alcalá de Moncayo,50014,13.76,10.46
Alconchel de Ariza,50015,34.85,1.80
Aldehuela de Liestos,50016,38.04,1.28
Alfajarín,50017,137.57,16.80
Alfamén,50018,102.04,14.12
Alforque,50019,10.62,5.83
Alhama de Aragón,50020,31.14,33.26
Almochuel,50021,32,0.90
La Almolda,50022,131.33,4.31
Almonacid de La Cuba,50023,55.21,4.56
Almonacid de La Sierra,50024,55.21,12.51
La Almunia de Doña Godina,50025,56.65,138.02
Alpartir,50026,32.54,17.79
Ambel,50027,61,4.19
Anento,50028,21.52,4.41
Aniñón,50029,52.46,13.49
Añón de Moncayo,50030,64.19,3.31
Aranda de Moncayo,50031,91,1.75
Arándiga,50032,50.22,6.15
Ardisa,50033,27.28,2.63
Ariza,50034,103.08,11.04
Artieda,50035,13.57,5.37
Asín,50036,18.47,5.19
Atea,50037,34.67,4.49
Ateca,50038,84.71,21.16
Azuara,50039,165.81,3.27
Badules,50040,20.09,4.13
Bagüés,50041,30.72,0.39
Balconchán,50042,19,0.89
Bárboles,50043,15.68,19.13
Bardallur,50044,27.34,9.54
Belchite,50045,273.68,5.58
Belmonte de Gracián,50046,43.68,4.53
Berdejo,50047,19.39,2.42
Berrueco,50048,19,1.73
Bijuesca,50050,57.08,1.71
Biota,50051,128,7.40
Bisimbre,50052,11.22,8.64
Boquiñeni,50053,18.87,42.81
Bordalba,50054,41.58,1.34
Borja,50055,107.29,45.87
Botorrita,50056,19.81,25.13
Brea de Aragón,50057,13.38,124.43
Bubierca,50058,29.54,2.13
Bujaraloz,50059,120.92,8.31
Bulbuente,50060,25.44,8.52
Bureta,50061,11.91,18.21
El Burgo de Ebro,50062,24.86,97.82
El Buste,50063,7.61,9.46
Cabañas de Ebro,50064,8.53,58.38
Cabolafuente,50065,39.24,0.81
Cadrete,50066,11.86,328.07
Calatayud,50067,154.25,129.88
Calatorao,50068,48.15,59.41
Calcena,50069,64.74,1.15
Calmarza,50070,28.15,2.09
Campillo de Aragón,50071,36.86,4.04
Carenas,50072,31.22,5.66
Cariñena,50073,82.51,39.70
Caspe,50074,503.15,18.93
Castejón de Alarba,50075,17.56,5.23
Castejón de Las Armas,50076,17.56,5.12
Castejón de Valdejasa,50077,17.56,12.58
Castiliscar,50078,40.68,6.51
Cervera de La Cañada,50079,29.22,9.27
Cerveruela,50080,23.49,1.48
Cetina,50081,78.76,7.51
Cimballa,50082,31.95,2.91
Cinco Olivas,50083,2.25,49.77
Clarés de Ribota,50084,18,3.61
Codo,50085,11.36,17.42
Codos,50086,62.69,2.91
Contamina,50087,14.02,2.63
Cosuenda,50088,31.68,11.58
Cuarte de Huerva,50089,8.95,1458.65
Cubel,50090,58.62,2.86
Las Cuerlas,50091,32.58,1.19
Chiprana,50092,38.98,13.03
Chodes,50093,15.97,7.07
Daroca,50094,52.05,38.34
Ejea de Los Caballeros,50095,609.92,27.22
Embid de Ariza,50096,41.26,0.87
Encinacorba,50098,36.74,5.14
Épila,50099,194.32,22.65
Erla,50100,18.96,18.19
Escatrón,50101,94.64,10.84
Fabara,50102,101.63,11.33
Farlete,50104,104.12,3.70
Fayón,50105,67.19,5.26
Los Fayos,50106,3.88,36.34
Figueruelas,50107,16.99,72.98
Fombuena,50108,26.37,2.04
El Frago,50109,33.76,2.93
El Frasno,50110,48.64,7.89
Fréscano,50111,18.41,10.97
Fuendejalón,50113,75.83,10.45
Fuendetodos,50114,62,1.95
Fuentes de Ebro,50115,141.73,32.05
Fuentes de Jiloca,50116,27.35,8.37
Gallocanta,50117,29.71,5.18
Gallur,50118,41.71,63.00
Gelsa,50119,72.04,13.81
Godojos,50120,16.77,3.22
Gotor,50121,15.52,19.71
Grisel,50122,14.51,4.61
Grisén,50123,4.75,125.68
Herrera de Los Navarros,50124,105.01,4.81
Ibdes,50125,56.31,7.17
Illueca,50126,24.86,119.22
