municipio,cp,superficie,densidad,posicion
Sos del Rey Católico,50248,216.62,2.71,679
Tabuenca,50249,85.72,3.76,680
Talamantes,50250,46.94,1.34,681
Tarazona,50251,244.01,43.06,682
Tauste,50252,405.23,17.06,683
Terrer,50253,33.75,14.37,684
Tierga,50254,66.13,2.90,685
Tobed,50255,32.39,6.60,686
Torralba de Los Frailes,50256,40.39,2.12,687
Torralba de Ribota,50257,40.39,4.25,688
Torralbilla,50258,25.86,2.35,689
Torrehermosa,50259,21.13,2.98,690
Torrelapaja,50260,15.68,2.04,691
Torrellas,50261,2.53,98.81,692
Torres de Berrellén,50262,53.81,26.87,693
Torrijo de La Cañada,50263,74.57,2.76,694
Tosos,50264,68.65,2.62,695
Trasmoz,50265,18.26,4.87,696
Trasobares,50266,71.76,1.67,697
Uncastillo,50267,230.87,2.81,698
Undués de Lerda,50268,42.99,1.27,699
Urrea de JalÃ³n,50269,25.64,16.30,700
Urriés,50270,37.27,1.01,701
Used,50271,85.29,3.17,702
Utebo,50272,17.72,1049.77,703
Valdehorna,50273,7.95,3.77,704
Val de San MartÃ­n,50274,25.66,2.49,705
Valmadrid,50275,50.57,2.21,706
Valpalmas,50276,39.79,3.56,707
Valtorres,50277,3.29,20.66,708
Velilla de Ebro,50278,59.79,3.59,709
Velilla de Jiloca,50279,10,9.00,710
Vera de Moncayo,50280,27.66,13.01,711
Vierlas,50281,2.67,27.71,712
La Vilueña,50282,8.61,8.94,713
Villadoz,50283,17.18,5.12,714
Villafeliche,50284,22,7.72,715
Villafranca de Ebro,50285,63.64,13.04,716
Villalba de Perejil,50286,13.33,7.42,717
Villalengua,50287,40.16,7.94,718
Villanueva de Gállego,50288,75.99,61.33,719
Villanueva de Jiloca,50289,75.99,0.60,720
Villanueva de Huerva,50290,75.99,6.09,721
Villar de Los Navarros,50291,49,2.08,722
Villarreal de Huerva,50292,27.13,10.09,723
Villarroya de La Sierra,50293,91,5.12,724
Villarroya del Campo,50294,91,0.74,725
Vistabella,50295,21.82,2.24,726
La Zaida,50296,17.27,26.34,727
Zaragoza,50297,973.78,684.83,728
Zuera,50298,332.25,25.17,729
Biel,50901,130.73,1.07,730
Marracos,50902,16.92,5.08,731
Villamayor de Gállego,50903,89.36,30.17,732
