
Almohaja,0.2081
Viacamp y Litera,0.3434
Los Pintanos,0.4897
Obón,0.4972
Bagüés,0.5208
Fanlo,0.5347
Villanueva del Rebollar de la Sierra,0.5527
Abejuela,0.5769
Rubielos de la Cérida,0.5909
Bádenas,0.6068
Pomer,0.6342
Pozondón,0.6357
Longás,0.6500
Salcedillo,0.6512
Villanueva de Jiloca,0.6843
Fago,0.6954
Torrijas,0.7499
Almochuel,0.75
Segura de los Baños,0.7571
Sigüés,0.7762
Alobras,0.7901
Lobera de Onsella,0.8079
Allueva,0.8385
Sisamón,0.8423
Saldón,0.8459
Embid de Ariza,0.8482
Tormón,0.8520
Aguatón,0.8780
Valle de Bardají,0.8795
Purujosa,0.9031
Alcaine,0.9236
Pozuel de Ariza,0.9279
Cosa,0.9304
Cañada de Benatanduz,0.9458
Jabaloyas,0.9557
Villarroya del Campo,0.9780
Miravete de la Sierra,1.0408
Arcos de las Salinas,1.0443
Balconchán,1.0526
Toril y Masegoso,1.0759
Villarluengo,1.0830
Torre de las Arcas,1.0837
Monteagudo del Castillo,1.1045
Nogueras,1.1140
Jorcas,1.1153
Huesa del Común,1.1184
Alpeñés,1.1260
Calcena,1.1275
Puertomingalvo,1.1291
Cubla,1.1309
Las Peñas de Riglos,1.1337
Azaila,1.1419
Blesa,1.1444
Urriés,1.1537
Bárcabo,1.1601
Monesma y Cajigar,1.1612
Caldearenas,1.1751
Beranuy,1.1764
Biel,1.1856
Pancrudo,1.1885
Tronchón,1.1906
Santa Eulalia de Gállego,1.1979
Fortanete,1.2008
Bueña,1.2024
Josa,1.2043
Montanuy,1.2068
Monterde de Albarracín,1.2386
Bea,1.2409
Bordalba,1.2506
Pitarque,1.2511
Maicas,1.2530
Las Cuerlas,1.2584
Fonfría,1.2633
Gúdar,1.2670
Luesma,1.2758
Talamantes,1.2995
Anadón,1.2997
Las Parras de Castellote,1.3054
Corbalán,1.3221
Undués de Lerda,1.3258
Agüero,1.3275
Valacloche,1.3315
Aldehuela de Liestos,1.3406
Camarena de la Sierra,1.3452
Lidón,1.35
Cabolafuente,1.3506
Estopiñán del Castillo,1.3639
Ródenas,1.4008
Vivel del Río Martín,1.4073
Tramacastiel,1.4167
Ababuj,1.4259
Abanto,1.4411
Cerveruela,1.4474
Fuenferrada,1.4675
El Castellar,1.4828
Cabra de Mora,1.4864
Monforte de Moyuela,1.4872
Navardún,1.5
Foradada del Toscar,1.5247
Veguillas de la Sierra,1.5362
Santa Cruz de Nogueras,1.5376
Isuerre,1.5461
Lanzuela,1.5471
Valle de Lierp,1.5567
Yebra de Basa,1.5625
Cañada Vellida,1.5652
Puebla de Albortón,1.5725
Villar del Salz,1.5766
Bailo,1.5873
Aranda de Moncayo,1.5934
Rillo,1.5944
Trasobares,1.6025
Torla-Ordesa,1.6089
Ejulve,1.6165
Bijuesca,1.6468
Valdelinares,1.6699
Borau,1.6778
Berrueco,1.6842
Aliaga,1.6884
Camañas,1.6906
Blancas,1.7123
El Pobo,1.7142
Valdecuenca,1.7167
Aragüés del Puerto,1.7225
Ansó,1.7303
Bierge,1.7375
Nombrevilla,1.7653
Aguilar del Alfambra,1.7674
Villarroya de los Pinares,1.7692
Rubiales,1.7870
Palo,1.8043
Camarillas,1.8199
Mianos,1.8218
Peralta de Calasanz,1.8279
La Hoz de la Vieja,1.8522
Moneva,1.8688
Torralba de los Frailes,1.8816
Yésero,1.8855
Formiche Alto,1.8933
Valfarta,1.9090
Puente de Montañana,1.9151
Orcajo,1.9332
Linares de Mora,1.9349
Fiscal,1.9463
Senés de Alcubierre,1.9483
Isábena,1.9488
Gistaín,1.96
Arguis,1.9920
Orés,1.9992
Nigüella,2.0052
Mosqueruela,2.0073
El Vallecillo,2.0379
Moscardón,2.0423
Crivillén,2.0461
Frías de Albarracín,2.0476
Berdejo,2.0629
Sopeira,2.0639
Tolva,2.0688
Cascante del Río,2.0691
Casbas de Huesca,2.0724
Seira,2.1014
Baldellou,2.1038
Nogueruelas,2.1107
Jarque de la Val,2.1211
Puértolas,2.1329
Monegrillo,2.1511
Lledó,2.1593
Calmarza,2.1669
San Agustín,2.1742
Alconchel de Ariza,2.1807
Seno,2.1848
Vistabella,2.1998
Bubierca,2.2004
Bielsa,2.2133
Luna,2.2141
Valmadrid,2.2147
Albarracín,2.2221
Torrelapaja,2.2321
Torre los Negros,2.2329
Singra,2.2603
Pozuel del Campo,2.2621
Perales del Alfambra,2.2640
Fórnoles,2.2727
Fombuena,2.2753
Lagueruela,2.2796
Torralbilla,2.2815
Contamina,2.2824
La Zoma,2.2857
Peralejos,2.3055
Villar de los Navarros,2.3061
Loscorrales,2.3105
Bonansa,2.3330
Fuendetodos,2.3387
Luesia,2.3417
Belmonte de San José,2.3433
Visiedo,2.3590
Alba,2.3730
Val de San Martín,2.3772
Escorihuela,2.3863
Canal de Berdún,2.4236
Malanquilla,2.4297
Langa del Castillo,2.4336
Baélls,2.4359
Cucalón,2.4428
Cortes de Aragón,2.4559
Huerto,2.4561
La Ginebrosa,2.4625
Retascón,2.4642
Aladrén,2.4691
Tella-Sin,2.4908
Laspaúles,2.5076
Bezas,2.5455
Salvatierra de Esca,2.5480
Mirambel,2.5511
Monterde,2.5563
Arén,2.5812
Plenas,2.5823
El Pueyo de Araguás,2.6034
La Cerollera,2.6074
Galve,2.6130
Sos del Rey Católico,2.6174
Calomarde,2.6259
Lechón,2.6345
Libros,2.6378
Torrijo de la Cañada,2.6418
Cubel,2.6441
Castelnou,2.6624
Tosos,2.6656
Los Olmos,2.6836
Peracense,2.6866
Uncastillo,2.6898
Bañón,2.6902
San Juan de Plan,2.7012
Bisaurri,2.7061
Ardisa,2.7126
Odón,2.7343
La Fueva,2.7416
Molinos,2.7885
Torralba de Aragón,2.7977
Mezquita de Jarque,2.8580
Tierga,2.8731
El Frago,2.8732
Colungo,2.8789
Torres de Alcanadre,2.8965
Plou,2.9052
Rueda de Jalón,2.9058
Noguera de Albarracín,2.9300
Cimballa,2.9420
Plan,2.9503
Secastilla,2.9523
Villar del Cobo,2.9558
Castelflorite,2.9631
Castigaleu,2.9777
Torre la Ribera,2.9943
Used,3.0015
Loporzano,3.0363
Lupiñén-Ortilla,3.0435
Monreal de Ariza,3.0454
Manzanera,3.0594
Hinojosa de Jarque,3.0710
Argente,3.0840
Ilche,3.0916
Abizanda,3.0999
Ferreruela de Huerva,3.1311
Castejón de Tornos,3.1321
Alcubierre,3.1393
Torremocha de Jiloca,3.1526
Alcalá de la Selva,3.1538
Castel de Cabra,3.1589
Godojos,3.1604
Fuentes de Rubielos,3.1868
Azuara,3.1903
Chía,3.1923
Salillas,3.2121
Gargallo,3.2247
Torrehermosa,3.2654
Cuevas de Almudén,3.2914
Azanuy-Alins,3.3222
Alcalá de Gurrea,3.3464
Cuevas Labradas,3.3570
Velilla de Ebro,3.3952
Castelserás,3.4016
Torre del Compte,3.4130
Candasnos,3.4218
Santaliestra y San Quílez,3.4275
Adahuesca,3.4305
Valpalmas,3.4430
Añón de Moncayo,3.4584
Torrecilla del Rebollar,3.4608
Valle de Hecho,3.4850
Murillo de Gállego,3.4911
Bordón,3.5023
Torre de Arcas,3.5127
Farlete,3.5151
Olvena,3.5242
Perarrúa,3.5274
Santed,3.5934
Jatiel,3.5977
Fuentes Calientes,3.6385
Celadas,3.6535
Orrios,3.6571
Estercuel,3.6877
Nueno,3.7082
Ontiñena,3.7091
Sástago,3.7178
Clarés de Ribota,3.7222
Tabuenca,3.7447
Ojos Negros,3.7505
Terriente,3.7515
Piedratajada,3.8393
Mezalocha,3.8423
Hoz y Costeán,3.8448
El Cuervo,3.8535
Aísa,3.8656
Badules,3.8825
Torralba de los Sisones,3.8871
Villel,3.9002
Riodeva,3.9021
Ráfales,3.9033
Oseja,3.9166
Aguilón,3.9192
Alfambra,3.9366
Manchones,3.9508
Codos,3.9559
Campillo de Aragón,3.9609
Piracés,3.9761
Oliete,4.0126
Pertusa,4.0858
Tornos,4.1266
Peñalba,4.1282
Sahún,4.1303
Ambel,4.1475
Valdehorna,4.1509
Almonacid de la Cuba,4.1659
Torralba de Ribota,4.1842
Monroyo,4.1903
Tramacastilla,4.1918
Broto,4.2031
La Almolda,4.2183
Valbona,4.2239
Atea,4.2399
Albentosa,4.25
