"municipio","densidad","superficie"
"Arens de Lledó",6.01,34.27
"Argente",3.16,62.58
"Ariño",8.64,81.93
"Azaila",1.15,81.44
"BÃ¡denas",0.63,31.31
"BaÃ±Ã³n",2.81,54.27
"Barrachina",4.74,24.86
"Bea",1.32,23.37
"Beceite",5.59,96.72
"Belmonte de San JosÃ©",2.58,43.68
"Bello",4.28,52.49
"Berge",5.72,42.64
"Bezas",2.65,26.32
"Blancas",1.71,73
"Blesa",1.18,80.39
"Bordón",3.53,29.98
"Bronchales",7.5,59
"BueÃ±a",1.54,40.75
"Burbáguena",6.22,39.02
"Cabra de Mora",1.6,34.31
"Calomarde",2.62,28.18
"CamaÃ±as",1.57,78.67
"Camarena de La Sierra",1.42,79.54
"Camarillas",1.7,50.55
"Cantavieja",5.73,124.56
"Cañada de Benatanduz",1.11,34.89
"La Cañada de Verich",8.01,10.86
"Cañada Vellida",1.52,23
"Cañizar del Olivar",4.39,22.29
"Cascante del Río",2.19,32.38
"Castejón de Tornos",3.53,17.56
"Castel de Cabra",3.53,29.44
"Castelnou",4.31,37.09
"El Castellar",1.03,50.33
"Castellote",2.87,235.18
"Cedrillas",8.56,73.57
"Celadas",3.94,100.45
"La Cerollera",2.96,33.75
"Corbalán",1.32,82.44
"Cortes de Aragón",2.49,24.43
"Cosa",0.94,54.81
"Crivillén",1.61,42.03
"La Cuba",6.29,6.51
"Cubla",1.11,48.63
"Cucalón",2.5,31.93
"El Cuervo",4.14,20.76
"Cuevas de AlmudÃ©n",3.4,35.85
"Cuevas Labradas",3.2,40.81
"Ejulve",1.64,109.49
"Escorihuela",2.43,56.99
"Estercuel",3.77,55.59
"Ferreruela de Huerva",3.08,20.44
"Fonfría",1.36,20.58
"Formiche Alto",1.93,78.17
"Fórnoles",2.3,32.56
"Fortanete",1.21,168.21
"Foz-Calanda",6.28,37.87
"Frías de Albarrací­n",2.28,50.79
"Fuenferrada",1.71,24.53
"Fuentes Calientes",4.03,25.01
"Fuentes de Rubielos",2.92,38.91
"Fuentespalda",7.33,39
"Galve",2.62,61.23
"Gargallo",2.95,30.08
"Gea de Albarracín",6.59,57
"La Ginebrosa",2.5,80
"Griegos",4.5,31.77
"Guadalaviar",8.61,28.08
"Gúdar",1.18,60.77
"Hinojosa de Jarque",3.26,36.47
"La Hoz de La Vieja",1.94,43.73
"Huesa del Común",1.08,61.69
"Jabaloyas",1.05,61.73
"Jarque de La Val",2.39,29.23
"Jatiel",3.69,10.84
"Jorcas",1.3,26
"Josa",1.2,28.23
"Lagueruela",2.96,26.32
"Lanzuela",1.68,14.22
"Libros",2.66,37.91
"Lidón",1.37,40
"Linares de Mora",2.14,116.28
"Loscos",1.79,71.78
"Maicas",1.09,24.74
