population,year
16.350,1900
17.736,1910
17.578,1920
17.354,1930
17.438,1940
17.338,1950
20.102,1960
23.989,1970
22.947,1981
22.265,1991
22.132,2001
24.031,2011
23.656,2018
23.829,2019
