year,name,cp,nacidos,defunciones,saldo
2017,Huesca,Abiego (22001),2,4,-2
2017,Huesca,Abizanda (22002),1,1,0
2017,Huesca,Adahuesca (22003),4,2,2
2017,Huesca,Agüero (22004),0,3,-3
2017,Huesca,Albalate de Cinca (22007),10,16,-6
2017,Huesca,Albalatillo (22008),1,4,-3
2017,Huesca,Albelda (22009),5,15,-10
2017,Huesca,Albero Alto (22011),2,2,0
2017,Huesca,Albero Bajo (22012),0,1,-1
2017,Huesca,Alberuela de Tubo (22013),3,3,0
2017,Huesca,Alcalá de Gurrea (22014),0,5,-5
2017,Huesca,Alcalá del Obispo (22015),0,5,-5
2017,Huesca,Alcampell (22016),5,14,-9
2017,Huesca,Alcolea de Cinca (22017),10,7,3
2017,Huesca,Alcubierre (22018),0,3,-3
2017,Huesca,Alerre (22019),2,3,-1
2017,Huesca,Alfántega (22020),2,1,1
2017,Huesca,Almudévar (22021),21,41,-20
2017,Huesca,Almunia de San Juan (22022),6,10,-4
2017,Huesca,Almuniente (22023),0,4,-4
2017,Huesca,Alquézar (22024),2,4,-2
2017,Huesca,Altorricón (22025),12,20,-8
2017,Huesca,Angüés (22027),1,5,-4
2017,Huesca,Ansó (22028),1,3,-2
2017,Huesca,Aragüés del Puerto (22032),0,2,-2
2017,Huesca,Argavieso (22036),0,1,-1
2017,Huesca,Arguis (22037),1,,1
2017,Huesca,Arén (22035),0,2,-2
2017,Huesca,Ayerbe (22039),6,26,-20
2017,Huesca,Azanuy-Alins (22040),3,4,-1
2017,Huesca,Azara (22041),2,6,-4
2017,Huesca,Azlor (22042),3,2,1
2017,Huesca,Aínsa-Sobrarbe (22907),20,15,5
2017,Huesca,Aísa (22006),0,1,-1
2017,Huesca,Bailo (22044),0,4,-4
2017,Huesca,Baldellou (22045),0,2,-2
2017,Huesca,Ballobar (22046),4,9,-5
2017,Huesca,Banastás (22047),1,4,-3
2017,Huesca,Barbastro (22048),167,208,-41
2017,Huesca,Barbués (22049),0,,0
2017,Huesca,Belver de Cinca (22052),12,25,-13
2017,Huesca,Benabarre (22053),5,21,-16
2017,Huesca,Benasque (22054),18,6,12
2017,Huesca,Beranuy (22246),0,3,-3
2017,Huesca,Berbegal (22055),0,5,-5
2017,Huesca,Bielsa (22057),0,4,-4
2017,Huesca,Bierge (22058),0,1,-1
2017,Huesca,Biescas (22059),10,17,-7
2017,Huesca,Binaced (22060),12,17,-5
2017,Huesca,Binéfar (22061),85,90,-5
2017,Huesca,Bisaurri (22062),1,2,-1
2017,Huesca,Biscarrués (22063),0,3,-3
2017,Huesca,Blecua y Torres (22064),0,5,-5
2017,Huesca,Boltaña (22066),6,7,-1
2017,Huesca,Bonansa (22067),1,,1
2017,Huesca,Broto (22069),5,8,-3
2017,Huesca,Caldearenas (22072),3,3,0
2017,Huesca,Campo (22074),2,9,-7
2017,Huesca,Camporrells (22075),0,,0
2017,Huesca,Canal de Berdún (22076),0,4,-4
2017,Huesca,Candasnos (22077),1,3,-2
2017,Huesca,Canfranc (22078),0,4,-4
2017,Huesca,Capdesaso (22079),1,,1
2017,Huesca,Capella (22080),2,6,-4
2017,Huesca,Casbas de Huesca (22081),1,6,-5
2017,Huesca,Castejón de Monegros (22083),1,5,-4
2017,Huesca,Castejón de Sos (22084),4,8,-4
2017,Huesca,Castejón del Puente (22082),2,3,-1
2017,Huesca,Castelflorite (22085),0,3,-3
2017,Huesca,Castiello de Jaca (22086),0,3,-3
2017,Huesca,Castigaleu (22087),1,2,-1
2017,Huesca,Castillazuelo (22088),2,4,-2
2017,Huesca,Castillonroy (22089),1,9,-8
2017,Huesca,Chalamera (22094),0,2,-2
2017,Huesca,Chimillas (22096),2,8,-6
2017,Huesca,Chía (22095),1,1,0
2017,Huesca,Colungo (22090),0,2,-2
2017,Huesca,Esplús (22099),1,7,-6
2017,Huesca,Estada (22102),0,1,-1
2017,Huesca,Estadilla (22103),5,16,-11
2017,Huesca,Estopiñán del Castillo (22105),1,1,0
2017,Huesca,Fiscal (22109),2,1,1
2017,Huesca,Fonz (22110),4,19,-15
2017,Huesca,Foradada del Toscar (22111),2,,2
2017,Huesca,Fraga (22112),172,125,47
2017,Huesca,Fueva (La) (22113),4,8,-4
2017,Huesca,Gistaín (22114),0,3,-3
2017,Huesca,Grado (El) (22115),4,5,-1
2017,Huesca,Graus (22117),33,58,-25
2017,Huesca,Grañén (22116),7,33,-26
2017,Huesca,Gurrea de Gállego (22119),14,22,-8
2017,Huesca,Hoz de Jaca (22122),0,1,-1
2017,Huesca,Hoz y Costeán (22908),1,1,0
2017,Huesca,Huerto (22124),1,3,-2
2017,Huesca,Huesca (22125),451,564,-113
2017,Huesca,Ibieca (22126),1,2,-1
2017,Huesca,Igriés (22127),7,9,-2
2017,Huesca,Ilche (22128),0,1,-1
2017,Huesca,Isábena (22129),1,6,-5
2017,Huesca,Jaca (22130),92,145,-53
2017,Huesca,Jasa (22131),0,1,-1
2017,Huesca,Labuerda (22133),0,1,-1
2017,Huesca,Laluenga (22135),1,6,-5
2017,Huesca,Lalueza (22136),4,15,-11
2017,Huesca,Lanaja (22137),8,23,-15
2017,Huesca,Lascellas-Ponzano (22141),1,1,0
2017,Huesca,Lascuarre (22142),1,1,0
2017,Huesca,Laspaúles (22143),0,2,-2
2017,Huesca,Laspuña (22144),4,4,0
2017,Huesca,Loarre (22149),0,5,-5
2017,Huesca,Loporzano (22150),3,4,-1
2017,Huesca,Loscorrales (22151),1,3,-2
2017,Huesca,Lupiñén-Ortilla (22905),2,6,-4
2017,Huesca,Monesma y Cajigar (22155),0,5,-5
2017,Huesca,Monflorite-Lascasas (22156),4,4,0
2017,Huesca,Montanuy (22157),1,7,-6
2017,Huesca,Monzón (22158),147,194,-47
2017,Huesca,Naval (22160),3,2,1
2017,Huesca,Novales (22162),2,1,1
2017,Huesca,Nueno (22163),2,3,-1
2017,Huesca,Ontiñena (22165),4,6,-2
2017,Huesca,Osso de Cinca (22167),4,10,-6
2017,Huesca,Palo (22168),0,1,-1
2017,Huesca,Panticosa (22170),5,6,-1
2017,Huesca,Peralta de Alcofea (22174),2,10,-8
2017,Huesca,Peralta de Calasanz (22175),1,4,-3
2017,Huesca,Peraltilla (22176),2,2,0
2017,Huesca,Perarrúa (22177),1,2,-1
2017,Huesca,Pertusa (22178),1,2,-1
2017,Huesca,Peñalba (22172),2,13,-11
2017,Huesca,Peñas de Riglos (Las) (22173),0,5,-5
2017,Huesca,Piracés (22181),0,1,-1
2017,Huesca,Plan (22182),2,4,-2
2017,Huesca,Poleñino (22184),1,2,-1
2017,Huesca,Pozán de Vero (22186),2,2,0
2017,Huesca,Puebla de Castro (La) (22187),1,4,-3
2017,Huesca,Puente de Montañana (22188),0,2,-2
2017,Huesca,Puente la Reina de Jaca (22902),0,2,-2
2017,Huesca,Pueyo de Araguás (El) (22190),1,3,-2
2017,Huesca,Pueyo de Santa Cruz (22193),2,4,-2
2017,Huesca,Puértolas (22189),3,3,0
2017,Huesca,Quicena (22195),0,2,-2
2017,Huesca,Robres (22197),3,8,-5
2017,Huesca,Sabiñánigo (22199),67,107,-40
2017,Huesca,Sahún (22200),3,7,-4
2017,Huesca,Salas Altas (22201),1,2,-1
2017,Huesca,Salas Bajas (22202),0,5,-5
2017,Huesca,Salillas (22203),1,4,-3
2017,Huesca,Sallent de Gállego (22204),8,12,-4
2017,Huesca,San Esteban de Litera (22205),1,9,-8
2017,Huesca,San Juan de Plan (22207),2,1,1
2017,Huesca,San Miguel del Cinca (22903),7,12,-5
2017,Huesca,Sangarrén (22206),2,2,0
2017,Huesca,Santa Cilia (22208),5,2,3
2017,Huesca,Santa Cruz de la Serós (22209),2,2,0
2017,Huesca,Santa María de Dulcis (22906),0,4,-4
2017,Huesca,Sariñena (22213),44,42,2
2017,Huesca,Secastilla (22214),2,,2
2017,Huesca,Seira (22215),1,2,-1
2017,Huesca,Sena (22217),0,7,-7
2017,Huesca,Sesa (22220),0,6,-6
2017,Huesca,Sesué (22221),1,2,-1
2017,Huesca,Siétamo (22222),6,4,2
2017,Huesca,Sopeira (22223),0,2,-2
2017,Huesca,Sotonera (La) (22904),2,20,-18
2017,Huesca,Tamarite de Litera (22225),23,47,-24
2017,Huesca,Tardienta (22226),4,14,-10
2017,Huesca,Tella-Sin (22227),1,4,-3
2017,Huesca,Tierz (22228),6,6,0
2017,Huesca,Tolva (22229),0,5,-5
2017,Huesca,Torla-Ordesa (22230),3,3,0
2017,Huesca,Torralba de Aragón (22232),0,3,-3
2017,Huesca,Torre la Ribera (22233),1,1,0
2017,Huesca,Torrente de Cinca (22234),0,10,-10
2017,Huesca,Torres de Alcanadre (22235),0,2,-2
2017,Huesca,Torres de Barbués (22236),0,4,-4
2017,Huesca,Tramaced (22239),1,1,0
2017,Huesca,Valfarta (22242),0,2,-2
2017,Huesca,Valle de Hecho (22901),3,8,-5
2017,Huesca,Valle de Lierp (22244),0,1,-1
2017,Huesca,Velilla de Cinca (22245),2,6,-4
2017,Huesca,Vencillón (22909),1,3,-2
2017,Huesca,Viacamp y Litera (22247),0,2,-2
2017,Huesca,Vicién (22248),1,1,0
2017,Huesca,Villanova (22249),1,2,-1
2017,Huesca,Villanueva de Sigena (22251),2,6,-4
2017,Huesca,Villanúa (22250),3,3,0
2017,Huesca,Yebra de Basa (22252),1,2,-1
2017,Huesca,Zaidín (22254),15,22,-7
2017,Teruel,Ababuj (44001),0,1,-1
2017,Teruel,Aguaviva (44004),3,8,-5
2017,Teruel,Aguilar del Alfambra (44005),1,3,-2
2017,Teruel,Alacón (44006),2,8,-6
2017,Teruel,Alba (44007),0,4,-4
2017,Teruel,Albalate del Arzobispo (44008),17,35,-18
2017,Teruel,Albarracín (44009),6,17,-11
2017,Teruel,Albentosa (44010),3,3,0
2017,Teruel,Alcalá de la Selva (44012),1,3,-2
2017,Teruel,Alcañiz (44013),147,125,22
2017,Teruel,Alcorisa (44014),25,44,-19
2017,Teruel,Alfambra (44016),0,12,-12
2017,Teruel,Aliaga (44017),2,4,-2
2017,Teruel,Allepuz (44021),1,3,-2
2017,Teruel,Alloza (44022),4,9,-5
2017,Teruel,Allueva (44023),1,1,0
2017,Teruel,Anadón (44024),0,1,-1
2017,Teruel,Andorra (44025),53,79,-26
2017,Teruel,Arcos de las Salinas (44026),0,2,-2
2017,Teruel,Arens de Lledó (44027),2,2,0
