name,age,year,total
Abiego,0-16,2003,31
Abiego,0-16,2004,33
Abiego,0-16,2005,29
Abiego,0-16,2006,29
Abiego,0-16,2007,30
Abiego,0-16,2008,26
Abiego,0-16,2009,26
Abiego,0-16,2010,26
Abiego,0-16,2011,25
Abiego,0-16,2012,23
Abiego,0-16,2013,28
Abiego,0-16,2014,20
Abiego,0-16,2015,15
Abiego,0-16,2016,17
Abiego,0-16,2017,17
Abiego,0-16,2018,17
Abiego,0-16,2019,22
Abiego,0-16,2020,28
Abiego,0-16,2021,26
Abiego,0-16,2022,30
Abiego,16-64,2003,160
Abiego,16-64,2004,167
Abiego,16-64,2005,166
Abiego,16-64,2006,178
Abiego,16-64,2007,182
Abiego,16-64,2008,181
Abiego,16-64,2009,182
Abiego,16-64,2010,180
Abiego,16-64,2011,177
Abiego,16-64,2012,174
Abiego,16-64,2013,168
Abiego,16-64,2014,168
Abiego,16-64,2015,158
Abiego,16-64,2016,151
Abiego,16-64,2017,153
Abiego,16-64,2018,146
Abiego,16-64,2019,151
Abiego,16-64,2020,154
Abiego,16-64,2021,168
Abiego,16-64,2022,174
Abiego,65-100,2003,93
Abiego,65-100,2004,88
Abiego,65-100,2005,82
Abiego,65-100,2006,81
Abiego,65-100,2007,80
Abiego,65-100,2008,81
Abiego,65-100,2009,78
Abiego,65-100,2010,75
Abiego,65-100,2011,78
Abiego,65-100,2012,80
Abiego,65-100,2013,83
Abiego,65-100,2014,79
Abiego,65-100,2015,80
Abiego,65-100,2016,79
Abiego,65-100,2017,76
Abiego,65-100,2018,74
Abiego,65-100,2019,75
Abiego,65-100,2020,76
Abiego,65-100,2021,77
Abiego,65-100,2022,74
Abizanda,0-16,2003,11
Abizanda,0-16,2004,9
Abizanda,0-16,2005,7
Abizanda,0-16,2006,8
Abizanda,0-16,2007,8
Abizanda,0-16,2008,8
Abizanda,0-16,2009,10
Abizanda,0-16,2010,10
Abizanda,0-16,2011,8
Abizanda,0-16,2012,8
Abizanda,0-16,2013,11
Abizanda,0-16,2014,11
Abizanda,0-16,2015,9
Abizanda,0-16,2016,12
Abizanda,0-16,2017,14
Abizanda,0-16,2018,12
Abizanda,0-16,2019,14
Abizanda,0-16,2020,13
Abizanda,0-16,2021,14
Abizanda,0-16,2022,19
Abizanda,16-64,2003,90
Abizanda,16-64,2004,94
Abizanda,16-64,2005,92
Abizanda,16-64,2006,94
Abizanda,16-64,2007,92
Abizanda,16-64,2008,90
Abizanda,16-64,2009,80
Abizanda,16-64,2010,85
Abizanda,16-64,2011,93
Abizanda,16-64,2012,91
Abizanda,16-64,2013,96
Abizanda,16-64,2014,92
Abizanda,16-64,2015,96
Abizanda,16-64,2016,89
Abizanda,16-64,2017,100
Abizanda,16-64,2018,98
Abizanda,16-64,2019,97
Abizanda,16-64,2020,90
Abizanda,16-64,2021,91
Abizanda,16-64,2022,92
Abizanda,65-100,2003,31
Abizanda,65-100,2004,28
Abizanda,65-100,2005,29
Abizanda,65-100,2006,34
Abizanda,65-100,2007,33
Abizanda,65-100,2008,32
Abizanda,65-100,2009,36
Abizanda,65-100,2010,37
Abizanda,65-100,2011,38
Abizanda,65-100,2012,37
Abizanda,65-100,2013,36
Abizanda,65-100,2014,37
Abizanda,65-100,2015,37
Abizanda,65-100,2016,41
Abizanda,65-100,2017,42
Abizanda,65-100,2018,41
Abizanda,65-100,2019,39
Abizanda,65-100,2020,36
Abizanda,65-100,2021,38
Abizanda,65-100,2022,40
Adahuesca,0-16,2003,15
Adahuesca,0-16,2004,16
Adahuesca,0-16,2005,15
Adahuesca,0-16,2006,17
Adahuesca,0-16,2007,17
Adahuesca,0-16,2008,14
Adahuesca,0-16,2009,12
Adahuesca,0-16,2010,10
Adahuesca,0-16,2011,15
Adahuesca,0-16,2012,17
Adahuesca,0-16,2013,19
Adahuesca,0-16,2014,21
Adahuesca,0-16,2015,24
Adahuesca,0-16,2016,24
Adahuesca,0-16,2017,26
Adahuesca,0-16,2018,24
Adahuesca,0-16,2019,31
Adahuesca,0-16,2020,27
Adahuesca,0-16,2021,27
Adahuesca,0-16,2022,33
Adahuesca,16-64,2003,82
Adahuesca,16-64,2004,89
Adahuesca,16-64,2005,91
Adahuesca,16-64,2006,94
Adahuesca,16-64,2007,99
Adahuesca,16-64,2008,95
Adahuesca,16-64,2009,102
Adahuesca,16-64,2010,105
Adahuesca,16-64,2011,111
Adahuesca,16-64,2012,111
Adahuesca,16-64,2013,107
Adahuesca,16-64,2014,100
Adahuesca,16-64,2015,99
Adahuesca,16-64,2016,91
Adahuesca,16-64,2017,98
Adahuesca,16-64,2018,100
Adahuesca,16-64,2019,103
Adahuesca,16-64,2020,110
Adahuesca,16-64,2021,115
Adahuesca,16-64,2022,121
Adahuesca,65-100,2003,58
Adahuesca,65-100,2004,58
Adahuesca,65-100,2005,56
Adahuesca,65-100,2006,58
Adahuesca,65-100,2007,53
Adahuesca,65-100,2008,54
Adahuesca,65-100,2009,54
Adahuesca,65-100,2010,51
Adahuesca,65-100,2011,50
Adahuesca,65-100,2012,54
Adahuesca,65-100,2013,50
Adahuesca,65-100,2014,51
Adahuesca,65-100,2015,50
Adahuesca,65-100,2016,51
Adahuesca,65-100,2017,48
Adahuesca,65-100,2018,48
Adahuesca,65-100,2019,43
Adahuesca,65-100,2020,43
Adahuesca,65-100,2021,48
Adahuesca,65-100,2022,50
Agüero,0-16,2003,12
Agüero,0-16,2004,10
Agüero,0-16,2005,10
Agüero,0-16,2006,10
Agüero,0-16,2007,12
Agüero,0-16,2008,12
Agüero,0-16,2009,11
Agüero,0-16,2010,10
Agüero,0-16,2011,7
Agüero,0-16,2012,7
Agüero,0-16,2013,5
Agüero,0-16,2014,4
Agüero,0-16,2015,3
Agüero,0-16,2016,1
Agüero,0-16,2017,4
Agüero,0-16,2018,4
Agüero,0-16,2019,3
Agüero,0-16,2020,3
Agüero,0-16,2021,5
Agüero,0-16,2022,9
Agüero,16-64,2003,85
Agüero,16-64,2004,78
Agüero,16-64,2005,82
Agüero,16-64,2006,84
Agüero,16-64,2007,83
Agüero,16-64,2008,87
Agüero,16-64,2009,93
Agüero,16-64,2010,92
Agüero,16-64,2011,89
Agüero,16-64,2012,85
Agüero,16-64,2013,84
Agüero,16-64,2014,84
Agüero,16-64,2015,86
Agüero,16-64,2016,86
Agüero,16-64,2017,82
Agüero,16-64,2018,74
Agüero,16-64,2019,72
Agüero,16-64,2020,67
Agüero,16-64,2021,79
Agüero,16-64,2022,81
Agüero,65-100,2003,77
Agüero,65-100,2004,74
Agüero,65-100,2005,73
Agüero,65-100,2006,72
Agüero,65-100,2007,66
Agüero,65-100,2008,62
Agüero,65-100,2009,62
Agüero,65-100,2010,62
Agüero,65-100,2011,64
Agüero,65-100,2012,67
Agüero,65-100,2013,61
Agüero,65-100,2014,62
Agüero,65-100,2015,56
Agüero,65-100,2016,54
Agüero,65-100,2017,53
Agüero,65-100,2018,52
Agüero,65-100,2019,54
Agüero,65-100,2020,55
Agüero,65-100,2021,55
Agüero,65-100,2022,55
Aínsa-Sobrarbe,0-16,2003,235
Aínsa-Sobrarbe,0-16,2004,228
Aínsa-Sobrarbe,0-16,2005,229
Aínsa-Sobrarbe,0-16,2006,249
Aínsa-Sobrarbe,0-16,2007,266
Aínsa-Sobrarbe,0-16,2008,298
Aínsa-Sobrarbe,0-16,2009,315
Aínsa-Sobrarbe,0-16,2010,319
Aínsa-Sobrarbe,0-16,2011,320
Aínsa-Sobrarbe,0-16,2012,332
Aínsa-Sobrarbe,0-16,2013,338
Aínsa-Sobrarbe,0-16,2014,332
Aínsa-Sobrarbe,0-16,2015,351
Aínsa-Sobrarbe,0-16,2016,360
Aínsa-Sobrarbe,0-16,2017,347
Aínsa-Sobrarbe,0-16,2018,340
Aínsa-Sobrarbe,0-16,2019,355
Aínsa-Sobrarbe,0-16,2020,372
Aínsa-Sobrarbe,0-16,2021,387
Aínsa-Sobrarbe,0-16,2022,397
Aínsa-Sobrarbe,16-64,2003,1070
Aínsa-Sobrarbe,16-64,2004,1118
Aínsa-Sobrarbe,16-64,2005,1193
Aínsa-Sobrarbe,16-64,2006,1247
Aínsa-Sobrarbe,16-64,2007,1290
Aínsa-Sobrarbe,16-64,2008,1395
Aínsa-Sobrarbe,16-64,2009,1472
Aínsa-Sobrarbe,16-64,2010,1469
Aínsa-Sobrarbe,16-64,2011,1528
Aínsa-Sobrarbe,16-64,2012,1522
Aínsa-Sobrarbe,16-64,2013,1527
Aínsa-Sobrarbe,16-64,2014,1505
Aínsa-Sobrarbe,16-64,2015,1503
Aínsa-Sobrarbe,16-64,2016,1461
Aínsa-Sobrarbe,16-64,2017,1424
Aínsa-Sobrarbe,16-64,2018,1441
Aínsa-Sobrarbe,16-64,2019,1463
Aínsa-Sobrarbe,16-64,2020,1487
Aínsa-Sobrarbe,16-64,2021,1539
Aínsa-Sobrarbe,16-64,2022,1525
Aínsa-Sobrarbe,65-100,2003,425
Aínsa-Sobrarbe,65-100,2004,420
Aínsa-Sobrarbe,65-100,2005,404
Aínsa-Sobrarbe,65-100,2006,401
Aínsa-Sobrarbe,65-100,2007,395
Aínsa-Sobrarbe,65-100,2008,402
Aínsa-Sobrarbe,65-100,2009,392
Aínsa-Sobrarbe,65-100,2010,392
Aínsa-Sobrarbe,65-100,2011,384
Aínsa-Sobrarbe,65-100,2012,388
Aínsa-Sobrarbe,65-100,2013,385
Aínsa-Sobrarbe,65-100,2014,376
Aínsa-Sobrarbe,65-100,2015,366
Aínsa-Sobrarbe,65-100,2016,352
Aínsa-Sobrarbe,65-100,2017,357
Aínsa-Sobrarbe,65-100,2018,370
Aínsa-Sobrarbe,65-100,2019,383
Aínsa-Sobrarbe,65-100,2020,383
Aínsa-Sobrarbe,65-100,2021,386
Aínsa-Sobrarbe,65-100,2022,393
Aisa,0-16,2003,35
Aisa,0-16,2004,35
Aisa,0-16,2005,37
Aisa,0-16,2006,43
Aisa,0-16,2007,40
Aisa,0-16,2008,39
Aisa,0-16,2009,40
Aisa,0-16,2010,33
Aisa,0-16,2011,36
Aisa,0-16,2012,37
Aisa,0-16,2013,34
Aisa,0-16,2014,32
Aisa,0-16,2015,32
Aisa,0-16,2016,31
Aisa,0-16,2017,33
Aisa,0-16,2018,29
Aisa,0-16,2019,32
Aisa,0-16,2020,27
Aisa,0-16,2021,28
Aisa,0-16,2022,22
Aisa,16-64,2003,293
Aisa,16-64,2004,294
Aisa,16-64,2005,291
Aisa,16-64,2006,287
Aisa,16-64,2007,283
Aisa,16-64,2008,278
Aisa,16-64,2009,273
Aisa,16-64,2010,252
Aisa,16-64,2011,266
Aisa,16-64,2012,256
Aisa,16-64,2013,253
Aisa,16-64,2014,251
Aisa,16-64,2015,246
Aisa,16-64,2016,235
Aisa,16-64,2017,223
Aisa,16-64,2018,213
Aisa,16-64,2019,209
Aisa,16-64,2020,208
Aisa,16-64,2021,223
Aisa,16-64,2022,233
Aisa,65-100,2003,83
Aisa,65-100,2004,86
Aisa,65-100,2005,83
Aisa,65-100,2006,85
Aisa,65-100,2007,85
Aisa,65-100,2008,85
Aisa,65-100,2009,81
Aisa,65-100,2010,77
Aisa,65-100,2011,77
Aisa,65-100,2012,74
Aisa,65-100,2013,77
Aisa,65-100,2014,80
Aisa,65-100,2015,80
Aisa,65-100,2016,79
Aisa,65-100,2017,75
Aisa,65-100,2018,79
Aisa,65-100,2019,79
Aisa,65-100,2020,78
Aisa,65-100,2021,85
Aisa,65-100,2022,84
Albalate de Cinca,0-16,2003,144
Albalate de Cinca,0-16,2004,132
Albalate de Cinca,0-16,2005,128
Albalate de Cinca,0-16,2006,120
Albalate de Cinca,0-16,2007,135
Albalate de Cinca,0-16,2008,134
Albalate de Cinca,0-16,2009,139
Albalate de Cinca,0-16,2010,138
Albalate de Cinca,0-16,2011,134
