Sexo,Municipios,Edad (año a año),Periodo,Total
Total,22001 Abiego,19 años,2017,1
Total,22001 Abiego,20 años,2017,0
Total,22001 Abiego,21 años,2017,0
Total,22001 Abiego,22 años,2017,2
Total,22001 Abiego,23 años,2017,3
Total,22001 Abiego,24 años,2017,2
Total,22001 Abiego,25 años,2017,3
Total,22001 Abiego,26 años,2017,1
Total,22001 Abiego,27 años,2017,4
Total,22001 Abiego,28 años,2017,3
Total,22001 Abiego,29 años,2017,1
Total,22001 Abiego,30 años,2017,4
Total,22001 Abiego,31 años,2017,4
Total,22001 Abiego,32 años,2017,3
Total,22001 Abiego,33 años,2017,2
Total,22001 Abiego,34 años,2017,4
Total,22001 Abiego,35 años,2017,3
Total,22001 Abiego,36 años,2017,4
Total,22001 Abiego,37 años,2017,2
Total,22001 Abiego,38 años,2017,3
Total,22001 Abiego,39 años,2017,1
Total,22001 Abiego,40 años,2017,3
Total,22002 Abizanda,19 años,2017,1
Total,22002 Abizanda,20 años,2017,2
Total,22002 Abizanda,21 años,2017,1
Total,22002 Abizanda,22 años,2017,2
Total,22002 Abizanda,23 años,2017,0
Total,22002 Abizanda,24 años,2017,0
Total,22002 Abizanda,25 años,2017,1
Total,22002 Abizanda,26 años,2017,1
Total,22002 Abizanda,27 años,2017,1
Total,22002 Abizanda,28 años,2017,0
Total,22002 Abizanda,29 años,2017,2
Total,22002 Abizanda,30 años,2017,5
Total,22002 Abizanda,31 años,2017,3
Total,22002 Abizanda,32 años,2017,3
Total,22002 Abizanda,33 años,2017,4
Total,22002 Abizanda,34 años,2017,2
Total,22002 Abizanda,35 años,2017,5
Total,22002 Abizanda,36 años,2017,5
Total,22002 Abizanda,37 años,2017,2
Total,22002 Abizanda,38 años,2017,2
Total,22002 Abizanda,39 años,2017,2
Total,22002 Abizanda,40 años,2017,3
Total,22003 Adahuesca,19 años,2017,2
Total,22003 Adahuesca,20 años,2017,0
Total,22003 Adahuesca,21 años,2017,1
Total,22003 Adahuesca,22 años,2017,1
Total,22003 Adahuesca,23 años,2017,1
Total,22003 Adahuesca,24 años,2017,2
Total,22003 Adahuesca,25 años,2017,1
Total,22003 Adahuesca,26 años,2017,1
Total,22003 Adahuesca,27 años,2017,1
Total,22003 Adahuesca,28 años,2017,3
Total,22003 Adahuesca,29 años,2017,1
Total,22003 Adahuesca,30 años,2017,3
Total,22003 Adahuesca,31 años,2017,4
Total,22003 Adahuesca,32 años,2017,3
Total,22003 Adahuesca,33 años,2017,3
Total,22003 Adahuesca,34 años,2017,0
Total,22003 Adahuesca,35 años,2017,4
Total,22003 Adahuesca,36 años,2017,5
Total,22003 Adahuesca,37 años,2017,3
Total,22003 Adahuesca,38 años,2017,5
Total,22003 Adahuesca,39 años,2017,2
Total,22003 Adahuesca,40 años,2017,3
Total,22004 Agüero,19 años,2017,2
Total,22004 Agüero,20 años,2017,1
Total,22004 Agüero,21 años,2017,0
Total,22004 Agüero,22 años,2017,4
Total,22004 Agüero,23 años,2017,1
Total,22004 Agüero,24 años,2017,2
Total,22004 Agüero,25 años,2017,0
Total,22004 Agüero,26 años,2017,1
Total,22004 Agüero,27 años,2017,0
Total,22004 Agüero,28 años,2017,0
Total,22004 Agüero,29 años,2017,1
Total,22004 Agüero,30 años,2017,1
Total,22004 Agüero,31 años,2017,1
Total,22004 Agüero,32 años,2017,0
Total,22004 Agüero,33 años,2017,2
Total,22004 Agüero,34 años,2017,0
Total,22004 Agüero,35 años,2017,3
Total,22004 Agüero,36 años,2017,2
Total,22004 Agüero,37 años,2017,0
Total,22004 Agüero,38 años,2017,1
Total,22004 Agüero,39 años,2017,2
Total,22004 Agüero,40 años,2017,2
Total,22907 Aínsa-Sobrarbe,19 años,2017,23
Total,22907 Aínsa-Sobrarbe,20 años,2017,13
Total,22907 Aínsa-Sobrarbe,21 años,2017,19
Total,22907 Aínsa-Sobrarbe,22 años,2017,19
Total,22907 Aínsa-Sobrarbe,23 años,2017,15
Total,22907 Aínsa-Sobrarbe,24 años,2017,15
Total,22907 Aínsa-Sobrarbe,25 años,2017,26
Total,22907 Aínsa-Sobrarbe,26 años,2017,19
Total,22907 Aínsa-Sobrarbe,27 años,2017,21
Total,22907 Aínsa-Sobrarbe,28 años,2017,33
Total,22907 Aínsa-Sobrarbe,29 años,2017,27
Total,22907 Aínsa-Sobrarbe,30 años,2017,24
Total,22907 Aínsa-Sobrarbe,31 años,2017,26
Total,22907 Aínsa-Sobrarbe,32 años,2017,28
Total,22907 Aínsa-Sobrarbe,33 años,2017,31
Total,22907 Aínsa-Sobrarbe,34 años,2017,33
Total,22907 Aínsa-Sobrarbe,35 años,2017,26
Total,22907 Aínsa-Sobrarbe,36 años,2017,27
Total,22907 Aínsa-Sobrarbe,37 años,2017,26
Total,22907 Aínsa-Sobrarbe,38 años,2017,37
Total,22907 Aínsa-Sobrarbe,39 años,2017,39
Total,22907 Aínsa-Sobrarbe,40 años,2017,40
Total,22006 Aisa,19 años,2017,5
Total,22006 Aisa,20 años,2017,2
Total,22006 Aisa,21 años,2017,0
Total,22006 Aisa,22 años,2017,3
Total,22006 Aisa,23 años,2017,2
Total,22006 Aisa,24 años,2017,2
Total,22006 Aisa,25 años,2017,3
Total,22006 Aisa,26 años,2017,4
Total,22006 Aisa,27 años,2017,4
Total,22006 Aisa,28 años,2017,1
Total,22006 Aisa,29 años,2017,3
Total,22006 Aisa,30 años,2017,5
Total,22006 Aisa,31 años,2017,5
Total,22006 Aisa,32 años,2017,2
Total,22006 Aisa,33 años,2017,4
Total,22006 Aisa,34 años,2017,6
Total,22006 Aisa,35 años,2017,4
Total,22006 Aisa,36 años,2017,7
Total,22006 Aisa,37 años,2017,7
Total,22006 Aisa,38 años,2017,3
Total,22006 Aisa,39 años,2017,6
Total,22006 Aisa,40 años,2017,7
Total,22007 Albalate de Cinca,19 años,2017,11
