Sexo,Municipios,Edad (año a año),Periodo,Total
Total,22006 Aisa,59 años,2017,11
Total,22006 Aisa,60 años,2017,4
Total,22006 Aisa,61 años,2017,7
Total,22006 Aisa,62 años,2017,3
Total,22006 Aisa,63 años,2017,9
Total,22006 Aisa,64 años,2017,8
Total,22006 Aisa,65 años,2017,4
Total,22007 Albalate de Cinca,41 años,2017,25
Total,22007 Albalate de Cinca,42 años,2017,15
Total,22007 Albalate de Cinca,43 años,2017,17
Total,22007 Albalate de Cinca,44 años,2017,21
Total,22007 Albalate de Cinca,45 años,2017,21
Total,22007 Albalate de Cinca,46 años,2017,13
Total,22007 Albalate de Cinca,47 años,2017,22
Total,22007 Albalate de Cinca,48 años,2017,15
Total,22007 Albalate de Cinca,49 años,2017,17
Total,22007 Albalate de Cinca,50 años,2017,8
Total,22007 Albalate de Cinca,51 años,2017,13
Total,22007 Albalate de Cinca,52 años,2017,14
Total,22007 Albalate de Cinca,53 años,2017,20
Total,22007 Albalate de Cinca,54 años,2017,21
Total,22007 Albalate de Cinca,55 años,2017,10
Total,22007 Albalate de Cinca,56 años,2017,20
Total,22007 Albalate de Cinca,57 años,2017,20
Total,22007 Albalate de Cinca,58 años,2017,21
Total,22007 Albalate de Cinca,59 años,2017,24
Total,22007 Albalate de Cinca,60 años,2017,15
Total,22007 Albalate de Cinca,61 años,2017,17
Total,22007 Albalate de Cinca,62 años,2017,9
Total,22007 Albalate de Cinca,63 años,2017,14
Total,22007 Albalate de Cinca,64 años,2017,9
Total,22007 Albalate de Cinca,65 años,2017,12
Total,22008 Albalatillo,41 años,2017,1
Total,22008 Albalatillo,42 años,2017,4
Total,22008 Albalatillo,43 años,2017,2
Total,22008 Albalatillo,44 años,2017,6
Total,22008 Albalatillo,45 años,2017,2
Total,22008 Albalatillo,46 años,2017,4
Total,22008 Albalatillo,47 años,2017,3
Total,22008 Albalatillo,48 años,2017,1
Total,22008 Albalatillo,49 años,2017,2
Total,22008 Albalatillo,50 años,2017,2
Total,22008 Albalatillo,51 años,2017,2
Total,22008 Albalatillo,52 años,2017,0
Total,22008 Albalatillo,53 años,2017,2
Total,22008 Albalatillo,54 años,2017,1
Total,22008 Albalatillo,55 años,2017,2
Total,22008 Albalatillo,56 años,2017,4
Total,22008 Albalatillo,57 años,2017,1
Total,22008 Albalatillo,58 años,2017,3
Total,22008 Albalatillo,59 años,2017,4
Total,22008 Albalatillo,60 años,2017,3
Total,22008 Albalatillo,61 años,2017,3
Total,22008 Albalatillo,62 años,2017,2
Total,22008 Albalatillo,63 años,2017,2
Total,22008 Albalatillo,64 años,2017,5
Total,22008 Albalatillo,65 años,2017,1
Total,22009 Albelda,41 años,2017,8
Total,22009 Albelda,42 años,2017,8
Total,22009 Albelda,43 años,2017,14
Total,22009 Albelda,44 años,2017,9
Total,22009 Albelda,45 años,2017,12
Total,22009 Albelda,46 años,2017,12
Total,22009 Albelda,47 años,2017,14
Total,22009 Albelda,48 años,2017,8
Total,22009 Albelda,49 años,2017,9
Total,22009 Albelda,50 años,2017,7
Total,22009 Albelda,51 años,2017,7
Total,22009 Albelda,52 años,2017,21
Total,22009 Albelda,53 años,2017,10
Total,22009 Albelda,54 años,2017,6
Total,22009 Albelda,55 años,2017,14
Total,22009 Albelda,56 años,2017,10
Total,22009 Albelda,57 años,2017,8
Total,22009 Albelda,58 años,2017,11
Total,22009 Albelda,59 años,2017,11
Total,22009 Albelda,60 años,2017,9
Total,22009 Albelda,61 años,2017,12
Total,22009 Albelda,62 años,2017,11
Total,22009 Albelda,63 años,2017,8
Total,22009 Albelda,64 años,2017,14
Total,22009 Albelda,65 años,2017,12
Total,22011 Albero Alto,41 años,2017,1
Total,22011 Albero Alto,42 años,2017,0
Total,22011 Albero Alto,43 años,2017,1
Total,22011 Albero Alto,44 años,2017,1
Total,22011 Albero Alto,45 años,2017,3
Total,22011 Albero Alto,46 años,2017,5
Total,22011 Albero Alto,47 años,2017,0
Total,22011 Albero Alto,48 años,2017,1
Total,22011 Albero Alto,49 años,2017,1
Total,22011 Albero Alto,50 años,2017,1
Total,22011 Albero Alto,51 años,2017,1
Total,22011 Albero Alto,52 años,2017,2
Total,22011 Albero Alto,53 años,2017,6
Total,22011 Albero Alto,54 años,2017,5
Total,22011 Albero Alto,55 años,2017,0
Total,22011 Albero Alto,56 años,2017,0
Total,22011 Albero Alto,57 años,2017,2
Total,22011 Albero Alto,58 años,2017,0
Total,22011 Albero Alto,59 años,2017,2
Total,22011 Albero Alto,60 años,2017,1
Total,22011 Albero Alto,61 años,2017,3
Total,22011 Albero Alto,62 años,2017,3
Total,22011 Albero Alto,63 años,2017,3
Total,22011 Albero Alto,64 años,2017,0
Total,22011 Albero Alto,65 años,2017,2
Total,22012 Albero Bajo,41 años,2017,3
Total,22012 Albero Bajo,42 años,2017,3
Total,22012 Albero Bajo,43 años,2017,5
Total,22012 Albero Bajo,44 años,2017,2
Total,22012 Albero Bajo,45 años,2017,2
Total,22012 Albero Bajo,46 años,2017,2
Total,22012 Albero Bajo,47 años,2017,3
Total,22012 Albero Bajo,48 años,2017,1
Total,22012 Albero Bajo,49 años,2017,2
Total,22012 Albero Bajo,50 años,2017,3
Total,22012 Albero Bajo,51 años,2017,2
Total,22012 Albero Bajo,52 años,2017,2
Total,22012 Albero Bajo,53 años,2017,3
Total,22012 Albero Bajo,54 años,2017,2
Total,22012 Albero Bajo,55 años,2017,3
Total,22012 Albero Bajo,56 años,2017,2
Total,22012 Albero Bajo,57 años,2017,2
Total,22012 Albero Bajo,58 años,2017,3
Total,22012 Albero Bajo,59 años,2017,1
Total,22012 Albero Bajo,60 años,2017,4
Total,22012 Albero Bajo,61 años,2017,3
Total,22012 Albero Bajo,62 años,2017,1
Total,22012 Albero Bajo,63 años,2017,3
Total,22012 Albero Bajo,64 años,2017,1
Total,22012 Albero Bajo,65 años,2017,1
Total,22013 Alberuela de Tubo,41 años,2017,3
Total,22013 Alberuela de Tubo,42 años,2017,1
Total,22013 Alberuela de Tubo,43 años,2017,3
Total,22013 Alberuela de Tubo,44 años,2017,2
Total,22013 Alberuela de Tubo,45 años,2017,5
Total,22013 Alberuela de Tubo,46 años,2017,3
Total,22013 Alberuela de Tubo,47 años,2017,2
Total,22013 Alberuela de Tubo,48 años,2017,3
Total,22013 Alberuela de Tubo,49 años,2017,4
Total,22013 Alberuela de Tubo,50 años,2017,4
Total,22013 Alberuela de Tubo,51 años,2017,5
Total,22013 Alberuela de Tubo,52 años,2017,2
Total,22013 Alberuela de Tubo,53 años,2017,3
Total,22013 Alberuela de Tubo,54 años,2017,8
Total,22013 Alberuela de Tubo,55 años,2017,5
Total,22013 Alberuela de Tubo,56 años,2017,5
Total,22013 Alberuela de Tubo,57 años,2017,10
Total,22013 Alberuela de Tubo,58 años,2017,5
Total,22013 Alberuela de Tubo,59 años,2017,4
Total,22013 Alberuela de Tubo,60 años,2017,6
Total,22013 Alberuela de Tubo,61 años,2017,3
Total,22013 Alberuela de Tubo,62 años,2017,7
Total,22013 Alberuela de Tubo,63 años,2017,5
Total,22013 Alberuela de Tubo,64 años,2017,5
Total,22013 Alberuela de Tubo,65 años,2017,8
Total,22014 Alcalá de Gurrea,41 años,2017,2
Total,22014 Alcalá de Gurrea,42 años,2017,6
Total,22014 Alcalá de Gurrea,43 años,2017,3
Total,22014 Alcalá de Gurrea,44 años,2017,6
Total,22014 Alcalá de Gurrea,45 años,2017,1
Total,22014 Alcalá de Gurrea,46 años,2017,3
Total,22014 Alcalá de Gurrea,47 años,2017,5
Total,22014 Alcalá de Gurrea,48 años,2017,4
Total,22014 Alcalá de Gurrea,49 años,2017,3
Total,22014 Alcalá de Gurrea,50 años,2017,7
Total,22014 Alcalá de Gurrea,51 años,2017,4
Total,22014 Alcalá de Gurrea,52 años,2017,4
Total,22014 Alcalá de Gurrea,53 años,2017,4
Total,22014 Alcalá de Gurrea,54 años,2017,5
Total,22014 Alcalá de Gurrea,55 años,2017,6
Total,22014 Alcalá de Gurrea,56 años,2017,6
Total,22014 Alcalá de Gurrea,57 años,2017,4
Total,22014 Alcalá de Gurrea,58 años,2017,3
Total,22014 Alcalá de Gurrea,59 años,2017,3
Total,22014 Alcalá de Gurrea,60 años,2017,3
Total,22014 Alcalá de Gurrea,61 años,2017,4
Total,22014 Alcalá de Gurrea,62 años,2017,8
Total,22014 Alcalá de Gurrea,63 años,2017,1
Total,22014 Alcalá de Gurrea,64 años,2017,4
Total,22014 Alcalá de Gurrea,65 años,2017,3
Total,22015 Alcalá del Obispo,41 años,2017,6
Total,22015 Alcalá del Obispo,42 años,2017,5
Total,22015 Alcalá del Obispo,43 años,2017,4
Total,22015 Alcalá del Obispo,44 años,2017,8
Total,22015 Alcalá del Obispo,45 años,2017,9
Total,22015 Alcalá del Obispo,46 años,2017,4
Total,22015 Alcalá del Obispo,47 años,2017,7
Total,22015 Alcalá del Obispo,48 años,2017,4
Total,22015 Alcalá del Obispo,49 años,2017,7
Total,22015 Alcalá del Obispo,50 años,2017,5
Total,22015 Alcalá del Obispo,51 años,2017,2
Total,22015 Alcalá del Obispo,52 años,2017,3
Total,22015 Alcalá del Obispo,53 años,2017,8
Total,22015 Alcalá del Obispo,54 años,2017,3
Total,22015 Alcalá del Obispo,55 años,2017,7
Total,22015 Alcalá del Obispo,56 años,2017,6
Total,22015 Alcalá del Obispo,57 años,2017,6
Total,22015 Alcalá del Obispo,58 años,2017,3
Total,22015 Alcalá del Obispo,59 años,2017,4
Total,22015 Alcalá del Obispo,60 años,2017,8
Total,22015 Alcalá del Obispo,61 años,2017,6
Total,22015 Alcalá del Obispo,62 años,2017,5
Total,22015 Alcalá del Obispo,63 años,2017,5
Total,22015 Alcalá del Obispo,64 años,2017,6
Total,22015 Alcalá del Obispo,65 años,2017,3
Total,22016 Alcampell,41 años,2017,10
Total,22016 Alcampell,42 años,2017,8
Total,22016 Alcampell,43 años,2017,9
Total,22016 Alcampell,44 años,2017,9
Total,22016 Alcampell,45 años,2017,13
Total,22016 Alcampell,46 años,2017,8
Total,22016 Alcampell,47 años,2017,8
Total,22016 Alcampell,48 años,2017,7
Total,22016 Alcampell,49 años,2017,4
Total,22016 Alcampell,50 años,2017,5
Total,22016 Alcampell,51 años,2017,2
Total,22016 Alcampell,52 años,2017,7
Total,22016 Alcampell,53 años,2017,4
Total,22016 Alcampell,54 años,2017,6
Total,22016 Alcampell,55 años,2017,9
Total,22016 Alcampell,56 años,2017,9
Total,22016 Alcampell,57 años,2017,11
Total,22016 Alcampell,58 años,2017,7
Total,22016 Alcampell,59 años,2017,16
Total,22016 Alcampell,60 años,2017,10
Total,22016 Alcampell,61 años,2017,13
Total,22016 Alcampell,62 años,2017,7
Total,22016 Alcampell,63 años,2017,9
Total,22016 Alcampell,64 años,2017,14
Total,22016 Alcampell,65 años,2017,12
Total,22017 Alcolea de Cinca,41 años,2017,23
Total,22017 Alcolea de Cinca,42 años,2017,12
Total,22017 Alcolea de Cinca,43 años,2017,18
Total,22017 Alcolea de Cinca,44 años,2017,16
Total,22017 Alcolea de Cinca,45 años,2017,17
Total,22017 Alcolea de Cinca,46 años,2017,17
Total,22017 Alcolea de Cinca,47 años,2017,13
Total,22017 Alcolea de Cinca,48 años,2017,22
Total,22017 Alcolea de Cinca,49 años,2017,14
Total,22017 Alcolea de Cinca,50 años,2017,10
Total,22017 Alcolea de Cinca,51 años,2017,16
Total,22017 Alcolea de Cinca,52 años,2017,13
Total,22017 Alcolea de Cinca,53 años,2017,28
Total,22017 Alcolea de Cinca,54 años,2017,13
Total,22017 Alcolea de Cinca,55 años,2017,15
Total,22017 Alcolea de Cinca,56 años,2017,15
Total,22017 Alcolea de Cinca,57 años,2017,17
Total,22017 Alcolea de Cinca,58 años,2017,10
Total,22017 Alcolea de Cinca,59 años,2017,13
Total,22017 Alcolea de Cinca,60 años,2017,13
Total,22017 Alcolea de Cinca,61 años,2017,19
Total,22017 Alcolea de Cinca,62 años,2017,19
Total,22017 Alcolea de Cinca,63 años,2017,9
Total,22017 Alcolea de Cinca,64 años,2017,8
