year,province,cp,cities,nacidos,defunciones,saldo
2017,Teruel,44001,Ababuj,0,1,-1
2017,Teruel,44004,Aguaviva,3,8,-5
2017,Teruel,44005,Aguilar del Alfambra,1,3,-2
2017,Teruel,44006,Alacón,2,8,-6
2017,Teruel,44007,Alba,0,4,-4
2017,Teruel,44008,Albalate del Arzobispo,17,35,-18
2017,Teruel,44009,Albarracín,6,17,-11
2017,Teruel,44010,Albentosa,3,3,0
2017,Teruel,44012,Alcalá de la Selva,1,3,-2
2017,Teruel,44013,Alcañiz,147,125,22
2017,Teruel,44014,Alcorisa,25,44,-19
2017,Teruel,44016,Alfambra,0,12,-12
2017,Teruel,44017,Aliaga,2,4,-2
2017,Teruel,44021,Allepuz,1,3,-2
2017,Teruel,44022,Alloza,4,9,-5
2017,Teruel,44023,Allueva,1,1,0
2017,Teruel,44024,Anadón,0,1,-1
2017,Teruel,44025,Andorra,53,79,-26
2017,Teruel,44026,Arcos de las Salinas,0,2,-2
2017,Teruel,44027,Arens de Lledó,2,2,0
2017,Teruel,44028,Argente,1,8,-7
2017,Teruel,44029,Ariño,5,12,-7
2017,Teruel,44031,Azaila,2,7,-5
2017,Teruel,44035,Barrachina,0,3,-3
2017,Teruel,44034,Bañón,0,3,-3
2017,Teruel,44037,Beceite,0,8,-8
2017,Teruel,44039,Bello,1,10,-9
2017,Teruel,44038,Belmonte de San José,1,1,0
2017,Teruel,44042,Blancas,0,2,-2
2017,Teruel,44043,Blesa,1,2,-1
2017,Teruel,44045,Bronchales,3,5,-2
2017,Teruel,44046,Bueña,0,1,-1
2017,Teruel,44047,Burbáguena,1,4,-3
2017,Teruel,44033,Báguena,1,5,-4
2017,Teruel,44048,Cabra de Mora,0,2,-2
2017,Teruel,44049,Calaceite,5,21,-16
2017,Teruel,44050,Calamocha,30,53,-23
2017,Teruel,44051,Calanda,23,55,-32
2017,Teruel,44052,Calomarde,0,2,-2
2017,Teruel,44054,Camarena de la Sierra,1,1,0
2017,Teruel,44055,Camarillas,2,1,1
2017,Teruel,44053,Camañas,0,4,-4
2017,Teruel,44056,Caminreal,3,14,-11
2017,Teruel,44059,Cantavieja,5,4,1
2017,Teruel,44064,Cascante del Río,0,1,-1
2017,Teruel,44065,Castejón de Tornos,0,3,-3
2017,Teruel,44066,Castel de Cabra,0,3,-3
2017,Teruel,44071,Castellote,0,12,-12
2017,Teruel,44067,Castelnou,1,1,0
2017,Teruel,44068,Castelserás,11,14,-3
2017,Teruel,44060,Cañada de Benatanduz,0,1,-1
2017,Teruel,44074,Cedrillas,6,7,-1
2017,Teruel,44075,Celadas,0,10,-10
2017,Teruel,44076,Cella,18,41,-23
2017,Teruel,44080,Codoñera (La),1,8,-7
2017,Teruel,44084,Cortes de Aragón,0,1,-1
2017,Teruel,44085,Cosa,0,1,-1
2017,Teruel,44086,Cretas,3,4,-1
2017,Teruel,44087,Crivillén,0,1,-1
2017,Teruel,44089,Cubla,0,1,-1
2017,Teruel,44090,Cucalón,0,3,-3
2017,Teruel,44092,Cuervo (El),0,3,-3
2017,Teruel,44093,Cuevas de Almudén,2,0,2
2017,Teruel,44094,Cuevas Labradas,0,2,-2
2017,Teruel,44096,Ejulve,1,5,-4
2017,Teruel,44097,Escorihuela,0,4,-4
2017,Teruel,44099,Escucha,9,9,0
2017,Teruel,44100,Estercuel,0,3,-3
2017,Teruel,44101,Ferreruela de Huerva,0,1,-1
2017,Teruel,44102,Fonfría,0,2,-2
2017,Teruel,44103,Formiche Alto,0,4,-4
2017,Teruel,44106,Fortanete,2,2,0
2017,Teruel,44107,Foz-Calanda,1,4,-3
2017,Teruel,44108,Fresneda (La),1,9,-8
2017,Teruel,44109,Frías de Albarracín,0,5,-5
2017,Teruel,44110,Fuenferrada,0,1,-1
2017,Teruel,44111,Fuentes Calientes,0,2,-2
2017,Teruel,44112,Fuentes Claras,2,10,-8
2017,Teruel,44113,Fuentes de Rubielos,1,2,-1
2017,Teruel,44114,Fuentespalda,1,4,-3
2017,Teruel,44105,Fórnoles,1,0,1
2017,Teruel,44115,Galve,1,1,0
2017,Teruel,44116,Gargallo,0,1,-1
2017,Teruel,44117,Gea de Albarracín,1,0,1
2017,Teruel,44118,Ginebrosa (La),0,2,-2
2017,Teruel,44119,Griegos,0,2,-2
2017,Teruel,44120,Guadalaviar,0,5,-5
2017,Teruel,44121,Gúdar,0,1,-1
2017,Teruel,44123,Hinojosa de Jarque,1,1,0
2017,Teruel,44124,Hoz de la Vieja (La),0,1,-1
2017,Teruel,44125,Huesa del Común,0,1,-1
2017,Teruel,44122,Híjar,17,23,-6
2017,Teruel,44126,Iglesuela del Cid (La),1,12,-11
2017,Teruel,44127,Jabaloyas,0,3,-3
2017,Teruel,44128,Jarque de la Val,0,2,-2
2017,Teruel,44131,Josa,0,1,-1
2017,Teruel,44132,Lagueruela,0,1,-1
2017,Teruel,44133,Lanzuela,1,0,1
2017,Teruel,44135,Libros,0,3,-3
2017,Teruel,44137,Linares de Mora,2,3,-1
2017,Teruel,44141,Lledó,0,1,-1
2017,Teruel,44138,Loscos,0,5,-5
2017,Teruel,44143,Manzanera,1,7,-6
2017,Teruel,44144,Martín del Río,2,13,-11
2017,Teruel,44145,Mas de las Matas,6,24,-18
2017,Teruel,44146,Mata de los Olmos (La),1,6,-5
2017,Teruel,44147,Mazaleón,7,8,-1
2017,Teruel,44148,Mezquita de Jarque,3,2,1
2017,Teruel,44149,Mirambel,2,0,2
2017,Teruel,44151,Molinos,2,3,-1
2017,Teruel,44152,Monforte de Moyuela,0,1,-1
2017,Teruel,44153,Monreal del Campo,25,33,-8
2017,Teruel,44154,Monroyo,5,7,-2
2017,Teruel,44155,Montalbán,7,18,-11
2017,Teruel,44158,Mora de Rubielos,5,19,-14
2017,Teruel,44159,Moscardón,0,3,-3
2017,Teruel,44160,Mosqueruela,3,11,-8
