cp,munipio,total
44213,Singra,6
44215,Terriente,9
44216,Teruel,6903
44217,Toril y Masegoso,0
44218,Tormón,0
44219,Tornos,20
44220,Torralba de los Sisones,23
44221,Torrecilla de Alcañiz,37
44222,Torrecilla del Rebollar,2
44223,Torre de Arcas,11
44224,Torre de las Arcas,3
44225,Torre del Compte,9
44226,Torrelacárcel,12
44227,Torre los Negros,4
44228,Torremocha de Jiloca,7
44229,Torres de Albarracín,25
44230,Torrevelilla,28
44231,Torrijas,6
44232,Torrijo del Campo,36
44234,Tramacastiel,3
44235,Tramacastilla,12
44236,Tronchón,4
44237,Urrea de Gaén,39
44238,Utrillas,499
44239,Valacloche,0
44240,Valbona,15
44241,Valdealgorfa,80
44243,Valdecuenca,2
44244,Valdelinares,15
44245,Valdeltormo,32
44246,Valderrobres,466
44247,Valjunquera,45
44249,Vallecillo El,1
44250,Veguillas de la Sierra,0
44251,Villafranca del Campo,37
44252,Villahermosa del Campo,9
44256,Villanueva del Rebollar de la Sierra,7
44257,Villar del Cobo,8
44258,Villar del Salz,2
44260,Villarluengo,23
44261,Villarquemado,114
44262,Villarroya de los Pinares,22
44263,Villastar,92
44264,Villel,41
44265,Vinaceite,33
44266,Visiedo,12
44267,Vivel del Río Martín,2
44268,Zoma La,0
