year,total
1900,251994
1910,265908
1920,264062
1930,263700
1940,245960
1950,243269
1960,223758
1970,173861
1981,153457
1991,143680
2001,135858
2011,143178
2020,134176
2021,134259
2022,134132
2023,135046
