mayor,
29.16
35.71
43.75
22.48
23.45
48.85
39.22
25.98
24.00
17.45
50.00
26.63
.01
21.86
38.57
29.41
35.48
34.35
38.09
56.25
26.86
45.00
30.30
.02
23.07
35.98
37.98
24.81
37.14
15.78
40.59
28.66
33.62
24.24
27.81
40.43
38.23
25.54
19.04
33.57
42.04
27.02
22.29
47.05
37.76
26.08
32.82
20.20
21.78
35.06
31.38
24.39
25.00
29.76
25.17
40.00
32.98
44.73
24.27
46.96
56.60
35.78
45.45
33.82
27.43
29.76
22.08
30.11
27.00
28.37
28.07
20.00
30.64
42.00
30.55
37.77
23.80
25.00
38.46
48.61
23.01
42.10
32.25
40.57
19.40
27.31
32.85
43.33
30.18
39.53
23.92
21.61
28.57
33.33
74.28
35.95
36.63
10.00
35.15
21.33
30.61
34.33
29.00
39.28
23.69
23.28
25.92
45.28
32.22
40.84
26.32
35.38
42.85
19.56
38.88
35.71
39.43
20.00
36.27
43.39
30.21
30.99
44.06
48.38
20.26
30.10
29.64
24.07
26.69
34.52
23.42
22.22
35.24
41.33
19.96
24.35
28.53
30.23
49.09
18.41
23.07
28.85
32.57
25.36
37.03
33.65
51.42
40.65
32.62
21.05
40.90
29.16
26.65
36.58
30.81
29.26
40.00
27.11
38.46
32.94
28.40
28.98
44.68
30.18
37.71
27.08
51.66
26.36
20.08
20.56
34.93
20.93
41.91
37.09
30.22
30.23
46.87
20.67
18.18
45.45
33.51
29.85
52.27
52.00
28.75
20.89
38.09
37.20
30.00
36.64
.02
27.02
46.15
41.32
24.50
36.58
29.16
49.60
46.91
35.21
45.45
40.71
38.67
29.16
30.00
28.57
31.95
45.45
35.04
42.62
36.81
19.72
42.30
38.82
36.04
32.25
19.23
36.21
20.05
35.60
41.46
33.33
32.55
33.33
38.63
38.18
36.50
25.86
29.63
22.09
16.39
25.53
35.07
51.69
50.00
36.66
