year,cp,name,population,superficie
1900,44001,Ababuj,459,54
1900,44002,Abejuela,698,86.67
1900,44003,Aguatón,181,21.64
1900,44004,Aguaviva,1781,42.15
1900,44005,Aguilar del Alfambra,524,39.04
1900,44006,Alacón,931,47
1900,44007,Alba,634,69.53
1900,44008,Albalate del Arzobispo,4291,205.69
1900,44009,Albarracín,1932,452.72
1900,44010,Albentosa,1003,68
1900,44011,Alcaine,1103,57.38
1900,44012,Alcalá de la Selva,1648,104.95
1900,44013,Alcañiz,7699,472.12
1900,44014,Alcorisa,3119,121
1900,44016,Alfambra,1355,122.44
1900,44017,Aliaga,1754,193.08
1900,44018,Almohaja,243,25.55
1900,44019,Alobras,546,30.72
1900,44020,Alpeñés,224,28.62
1900,44021,Allepuz,1040,67.26
1900,44022,Alloza,1773,81
1900,44023,Allueva,216,18.65
1900,44024,Anadón,355,24.62
1900,44025,Andorra,2704,141.36
1900,44026,Arcos de las Salinas,1353,112.99
1900,44027,Arens de Lledó,759,34.27
1900,44028,Argente,716,62.58
1900,44029,Ariño,1366,81.93
1900,44031,Azaila,742,81.44
1900,44032,Bádenas,454,31.31
1900,44033,Báguena,1420,25.17
1900,44034,Bañón,693,54.27
1900,44035,Barrachina,697,24.86
1900,44036,Bea,170,23.37
1900,44037,Beceite,2252,96.72
1900,44038,Belmonte de San José,817,43.68
1900,44039,Bello,989,52.49
1900,44040,Berge,816,42.64
1900,44041,Bezas,357,26.32
1900,44042,Blancas,859,73
1900,44043,Blesa,1325,80.39
1900,44044,Bordón,586,29.98
1900,44045,Bronchales,950,59
1900,44046,Bueña,352,40.75
1900,44047,Burbáguena,1350,39.02
1900,44048,Cabra de Mora,563,34.31
1900,44049,Calaceite,2579,81.33
1900,44050,Calamocha,6017,316.63
1900,44051,Calanda,3924,112.25
1900,44052,Calomarde,422,28.18
1900,44053,Camañas,450,78.67
1900,44054,Camarena de la Sierra,882,79.54
1900,44055,Camarillas,816,50.55
1900,44056,Caminreal,1349,44.39
1900,44059,Cantavieja,1962,124.56
1900,44060,Cañada de Benatanduz,642,34.89
1900,44061,La Cañada de Verich,287,10.86
1900,44062,Cañada Vellida,201,23
1900,44063,Cañizar del Olivar,507,22.29
1900,44064,Cascante del Río,574,32.38
1900,44065,Castejón de Tornos,475,17.56
1900,44066,Castel de Cabra,623,29.44
1900,44067,Castelnou,680,37.09
1900,44068,Castelserás,2177,31.52
1900,44070,El Castellar,489,50.33
1900,44071,Castellote,5122,235.18
1900,44074,Cedrillas,957,73.57
1900,44075,Celadas,876,100.45
1900,44076,Cella,2567,124.68
1900,44077,La Cerollera,450,33.75
1900,44080,La Codoñera,1342,20.97
1900,44082,Corbalán,484,82.44
1900,44084,Cortes de Aragón,492,24.43
1900,44085,Cosa,385,54.81
1900,44086,Cretas,1562,52.66
1900,44087,Crivillén,937,42.03
1900,44088,La Cuba,357,6.51
1900,44089,Cubla,363,48.63
1900,44090,Cucalón,525,31.93
1900,44092,El Cuervo,576,20.76
1900,44093,Cuevas de Almudén,243,35.85
1900,44094,Cuevas Labradas,401,40.81
1900,44096,Ejulve,1291,109.49
1900,44097,Escorihuela,493,56.99
1900,44099,Escucha,707,41.57
1900,44100,Estercuel,964,55.59
1900,44101,Ferreruela de Huerva,262,20.44
1900,44102,Fonfría,205,20.58
1900,44103,Formiche Alto,1029,78.17
1900,44105,Fórnoles,742,32.56
1900,44106,Fortanete,1570,168.21
1900,44107,Foz-Calanda,786,37.87
1900,44108,La Fresneda,1799,39.48
1900,44109,Frías de Albarracín,665,50.79
1900,44110,Fuenferrada,402,24.53
1900,44111,Fuentes Calientes,243,25.01
1900,44112,Fuentes Claras,1123,36.91
1900,44113,Fuentes de Rubielos,895,38.91
1900,44114,Fuentespalda,927,39
1900,44115,Galve,468,61.23
1900,44116,Gargallo,644,30.08
1900,44117,Gea de Albarracín,1168,57
1900,44118,La Ginebrosa,1116,80
1900,44119,Griegos,415,31.77
1900,44120,Guadalaviar,492,28.08
1900,44121,Gúdar,730,60.77
1900,44122,Híjar,3330,165.36
1900,44123,Hinojosa de Jarque,546,36.47
1900,44124,La Hoz de la Vieja,924,43.73
1900,44125,Huesa del Común,1284,61.69
1900,44126,La Iglesuela del Cid,1485,40.29
1900,44127,Jabaloyas,934,61.73
1900,44128,Jarque de la Val,277,29.23
1900,44129,Jatiel,255,10.84
1900,44130,Jorcas,462,26
1900,44131,Josa,615,28.23
1900,44132,Lagueruela,252,26.32
1900,44133,Lanzuela,243,14.22
1900,44135,Libros,607,37.91
1900,44136,Lidón,308,40
1900,44137,Linares de Mora,1592,116.28
1900,44138,Loscos,1507,71.78
1900,44141,Lledó,580,15.61
1900,44142,Maicas,391,24.74
1900,44143,Manzanera,2750,168.66
1900,44144,Martín del Río,729,54.88
1900,44145,Mas de las Matas,1981,29.99
1900,44146,La Mata de los Olmos,458,23.73
1900,44147,Mazaleón,1403,86.25
1900,44148,Mezquita de Jarque,327,31.14
1900,44149,Mirambel,835,45.47
1900,44150,Miravete de la Sierra,486,36.51
1900,44151,Molinos,1405,79.61
1900,44152,Monforte de Moyuela,694,47.74
1900,44153,Monreal del Campo,2330,89.05
1900,44154,Monroyo,1284,79.23
1900,44155,Montalbán,2020,82.04
1900,44156,Monteagudo del Castillo,489,44.36
1900,44157,Monterde de Albarracín,488,45.21
1900,44158,Mora de Rubielos,3213,166.23
1900,44159,Moscardón,494,26.93
1900,44160,Mosqueruela,3103,265.03
1900,44161,Muniesa,1860,129
1900,44163,Noguera de Albarracín,489,47.44
1900,44164,Nogueras,359,18.85
1900,44165,Nogueruelas,1156,99.49
1900,44167,Obón,1257,68.38
1900,44168,Odón,974,74.24
1900,44169,Ojos Negros,1436,90.92
1900,44171,Olba,1802,20.99
1900,44172,Oliete,2146,85.48
1900,44173,Los Olmos,600,43.97
1900,44174,Orihuela del Tremedal,945,71.52
1900,44175,Orrios,430,35
1900,44176,Palomar de Arroyos,612,33.62
1900,44177,Pancrudo,1000,100.12
1900,44178,Las Parras de Castellote,1107,42.13
1900,44179,Peñarroya de Tastavins,1702,83.28
1900,44180,Peracense,385,28.66
1900,44181,Peralejos,286,36
1900,44182,Perales del Alfambra,817,104.24
1900,44183,Pitarque,938,54.35
1900,44184,Plou,529,17.21
1900,44185,El Pobo,497,63
1900,44187,La Portellada,860,21.37
1900,44189,Pozondón,539,67.64
1900,44190,Pozuel del Campo,598,27.85
1900,44191,La Puebla de Híjar,1921,17.03
1900,44192,La Puebla de Valverde,1982,17.03
